Epoch,Loss,Time
356,1.9728,2021-02-24 05:17:16.800100
357,1.9605,2021-02-24 05:19:17.253082
358,1.9581,2021-02-24 05:21:22.773475
359,1.9557,2021-02-24 05:23:24.774530
360,1.9697,2021-02-24 05:25:27.704727
361,1.9564,2021-02-24 05:27:31.167673
362,1.9544,2021-02-24 05:29:32.986107
363,1.9428,2021-02-24 05:31:36.116540
364,1.9583,2021-02-24 05:33:38.223686
365,1.9527,2021-02-24 05:35:37.593550
366,1.9523,2021-02-24 05:37:39.412886
367,1.9488,2021-02-24 05:39:41.660933
368,1.9558,2021-02-24 05:41:46.926580
369,1.9379,2021-02-24 05:43:49.787560
370,1.9349,2021-02-24 05:45:50.306073
371,1.9445,2021-02-24 05:47:55.259158
372,1.9519,2021-02-24 05:49:57.873131
373,1.9364,2021-02-24 05:52:03.535873
374,1.9352,2021-02-24 05:54:06.353254
375,1.9398,2021-02-24 05:56:05.662805
376,1.9191,2021-02-24 05:58:08.976717
377,1.9332,2021-02-24 06:00:10.714382
378,1.9413,2021-02-24 06:02:14.393312
379,1.9288,2021-02-24 06:04:15.425254
380,1.9321,2021-02-24 06:06:14.932499
381,1.9356,2021-02-24 06:08:16.875176
382,1.9346,2021-02-24 06:10:17.845011
383,1.9318,2021-02-24 06:12:22.353062
384,1.9127,2021-02-24 06:14:22.708527
385,1.9356,2021-02-24 06:16:25.173018
386,1.9133,2021-02-24 06:18:25.552087
387,1.9109,2021-02-24 06:20:25.985605
388,1.9175,2021-02-24 06:22:33.426092
389,1.9101,2021-02-24 06:24:35.862724
390,1.9083,2021-02-24 06:26:38.658698
391,1.8929,2021-02-24 06:28:38.243207
392,1.9102,2021-02-24 06:30:38.093615
393,1.9162,2021-02-24 06:32:37.724119
394,1.9124,2021-02-24 06:34:42.414660
395,1.9017,2021-02-24 06:36:43.695860
396,1.8865,2021-02-24 06:38:50.305181
397,1.8961,2021-02-24 06:40:52.068556
398,1.8968,2021-02-24 06:42:52.529941
399,1.9013,2021-02-24 06:44:53.505984
400,1.8933,2021-02-24 06:46:54.847916
401,1.8943,2021-02-24 06:49:00.873816
402,1.8936,2021-02-24 06:51:05.369376
403,1.8874,2021-02-24 06:53:09.680353
404,1.8754,2021-02-24 06:55:11.080685
405,1.8907,2021-02-24 06:57:12.011771
406,1.8833,2021-02-24 06:59:17.890908
407,1.8747,2021-02-24 07:01:18.889425
